,Province,ISOcode,Capital,Founded,Region,No.ofMunicipalities,No.ofCities,No.ofBarangays
36,Ilocos Norte,PH-ILN,Laoag,1818-01-1,1,21,2,557
37,Ilocos Sur,PH-ILS,Vigan,1572-01-1,1,32,2,768
41,La Union,PH-LUN,San Fernando,1850-03-2,1,19,1,576
61,Pangasinan,PH-PAN,Lingayen,1580-04-5,1,44,4,"1,364"
11,Batanes,PH-BTN,Basco,1909-01-1,2,6,-,29
18,Cagayan,PH-CAG,Tuguegarao,1581-01-1,2,28,1,820
39,Isabela,PH-ISA,Ilagan,1856-05-1,2,34,3,"1,055"
56,Nueva Vizcaya,PH-NUV,Bayombong,1839-05-24,2,15,-,275
63,Quirino,PH-QUI,Cabarroguis,1966-06-18,2,6,-,132
8,Aurora,PH-AUR,Baler,1979-08-13,3,8,-,151
10,Bataan,PH-BAN,Balanga,1754-01-1,3,11,1,237
17,Bulacan,PH-BUL,Malolos,1578-08-15,3,21,3,569
55,Nueva Ecija,PH-NUE,Palayan,1705-01-1,3,27,5,849
60,Pampanga,PH-PAM,San Fernando,1571-12-11,3,19,3,538
76,Tarlac,PH-TAR,Tarlac City,1873-03-28,3,17,1,511
78,Zambales,PH-ZMB,Iba,1578-01-1,3,13,1,247
12,Batangas,PH-BTG,Batangas City,1581-12-8,4,31,3,"1,078"
24,Cavite,PH-CAV,Imus,1614-01-1,4,17,6,829
42,Laguna,PH-LAG,Santa Cruz,1571-07-28,4,24,6,674
62,Quezon,PH-QUE,Lucena,1901-03-2,4,39,2,"1,242"
64,Rizal,PH-RIZ,Antipolo,1901-06-11,4,13,1,188
47,Marinduque,PH-MAD,Boac,1920-02-21,16,6,-,218
57,Occidental Mindoro,PH-MDC,Mamburao,1950-06-13,16,11,-,162
58,Oriental Mindoro,PH-MDR,Calapan,1950-06-13,16,14,1,426
59,Palawan,PH-PLW,Puerto Princesa,1917-03-10,16,23,1,433
65,Romblon,PH-ROM,Romblon,1917-03-10,16,17,-,219
9,Basilan,PH-BAS,Isabela,1973-12-27,14,11,2,255
44,Lanao del Sur,PH-LAS,Marawi,1959-07-4,14,39,1,"1,159"
46,Maguindanao,PH-MAG,Shariff Aguak,1973-11-22,14,36,1,545
73,Sulu,PH-SLU,Jolo,1917-03-10,14,19,-,410
77,Tawi-Tawi,PH-TAW,Bongao,1973-09-11,14,11,-,203
1,Abra,PH-ABR,Bangued,1917-03-10,15,27,-,303
7,Apayao,PH-APA,Kabugao,1995-02-14,15,7,-,133
13,Benguet,PH-BEN,La Trinidad,1966-06-16,15,13,1,269
35,Ifugao,PH-IFU,Lagawe,1966-06-18,15,11,-,175
40,Kalinga,PH-KAL,Tabuk,1995-02-14,15,7,1,152
51,Mountain Province,PH-MOU,Bontoc,1967-04-7,15,10,-,144
79,Zamboanga del Norte,PH-ZAN,Dipolog,1952-06-6,9,25,2,691
80,Zamboanga del Sur,PH-ZAS,Pagadian,1952-06-6,9,26,2,779
81,Zamboanga Sibugay,PH-ZSI,Ipil,2001-02-22,9,16,-,389
82,Metro Manila,PH-00,Manila,0521-01-1,17,1,16,"1,706"
52,Negros Occidental,PH-NEC,Bacolod,1905-03-4,18,19,13,662
53,Negros Oriental,PH-NER,Dumaguete,1890-01-1,18,20,6,557
5,Albay,PH-ALB,Legazpi,1917-03-10,5,15,3,720
19,Camarines Norte,PH-CAN,Daet,1917-03-10,5,12,-,282
20,Camarines Sur,PH-CAS,Pili,1917-03-10,5,35,2,"1,063"
23,Catanduanes,PH-CAT,Virac,1945-09-26,5,11,-,315
48,Masbate,PH-MAS,Masbate City,1917-03-10,5,20,1,550
69,Sorsogon,PH-SOR,Sorsogon City,1894-10-17,5,14,1,541
4,Aklan,PH-AKL,Kalibo,1956-04-25,6,17,-,327
6,Antique,PH-ANT,San Josede Buenavista,1917-03-10,6,18,-,590
22,Capiz,PH-CAP,Roxas,1917-03-10,6,16,1,473
34,Guimaras,PH-GUI,Jordan,1992-05-22,6,5,-,98
38,Iloilo,PH-ILI,Iloilo City,1904-04-14,6,42,2,"1,901"
15,Bohol,PH-BOH,Tagbilaran,1854-01-1,7,47,1,"1,109"
25,Cebu,PH-CEB,Cebu City,1565-04-27,7,44,9,"1,203"
68,Siquijor,PH-SIG,Siquijor,1971-09-17,7,6,-,134
14,Biliran,PH-BIL,Naval,1992-05-11,8,8,-,132
33,Eastern Samar,PH-EAS,Borongan,1965-06-19,8,22,1,597
45,Leyte,PH-LEY,Tacloban,1917-03-10,8,40,3,"1,641"
54,Northern Samar,PH-NSA,Catarman,1965-06-19,8,24,-,569
66,Samar,PH-WSA,Catbalogan,1965-06-19,8,24,2,951
71,Southern Leyte,PH-SLE,Maasin,1959-05-22,8,18,1,500
16,Bukidnon,PH-BUK,Malaybalay,1914-09-1,10,20,2,464
21,Camiguin,PH-CAM,Mambajao,1966-06-18,10,5,-,58
43,Lanao del Norte,PH-LAN,Tubod,1959-07-4,10,22,1,506
49,Misamis Occidental,PH-MSC,Oroquieta,1929-11-8,10,14,3,490
50,Misamis Oriental,PH-MSR,Cagayan de Oro,1929-11-8,10,23,3,504
26,Compostela Valley,PH-COM,Nabunturan,1998-01-31,11,11,-,237
28,Davao del Norte,PH-DAV,Tagum,1967-05-8,11,8,3,223
29,Davao del Sur,PH-DAS,Digos,1967-05-8,11,9,2,414
30,Davao Occidental,,Malita,2013-10-28,11,5,-,105
31,Davao Oriental,PH-DAO,Mati,1967-05-8,11,10,1,183
27,Cotabato,PH-NCO,Kidapawan,1967-05-8,12,17,1,543
67,Sarangani,PH-SAR,Alabel,1992-03-16,12,7,-,141
70,South Cotabato,PH-SCO,Koronadal,1966-06-18,12,10,2,225
72,Sultan Kudarat,PH-SUK,Isulan,1973-11-22,12,11,1,249
2,Agusan del Norte,PH-AGN,Cabadbaran,1967-06-17,13,10,2,252
3,Agusan del Sur,PH-AGS,Prosperidad,1967-06-17,13,13,1,314
32,Dinagat Islands,PH-DIN,San Jose,2006-12-2,13,7,-,100
74,Surigao del Norte,PH-SUN,Surigao,1960-06-16,13,20,1,335
75,Surigao del Sur,PH-SUR,Tandag,1960-06-16,13,17,2,309